Fecha,Hora,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag
18-10-2017,24:00,6,V,13,V,,N,0.2,V,22,V
19-10-2017,24:00,,N,,N,,N,,N,,N
20-10-2017,24:00,2,V,10,V,2,V,0.2,V,13,V
21-10-2017,24:00,2,V,10,V,1,V,0.2,V,13,V
22-10-2017,24:00,2,V,6,V,1,V,0.2,V,8,V
23-10-2017,24:00,3,V,14,V,1,V,0.2,V,19,V
24-10-2017,24:00,2,V,10,V,1,V,0.2,V,13,V
25-10-2017,24:00,16,V,29,V,4,V,0.2,V,53,V
26-10-2017,24:00,24,V,25,V,4,V,0.2,V,62,V
27-10-2017,24:00,4,V,13,V,1,V,0.2,V,18,V
28-10-2017,24:00,17,V,25,V,2,V,0.2,V,50,V
29-10-2017,24:00,3,V,10,V,2,V,0.2,V,14,V
30-10-2017,24:00,2,V,13,V,1,V,0.2,V,16,V
31-10-2017,24:00,,N,,N,,N,,N,,N
01-11-2017,24:00,2,V,8,V,1,V,0.2,V,11,V
02-11-2017,24:00,4,V,13,V,1,V,0.2,V,19,V
03-11-2017,24:00,4,V,15,V,2,V,0.2,V,21,V
04-11-2017,24:00,2,V,9,V,2,V,0.2,V,12,V
05-11-2017,24:00,2,V,7,V,2,V,0.2,V,10,V
06-11-2017,24:00,2,V,11,V,2,V,0.2,V,14,V
07-11-2017,24:00,2,V,12,V,3,V,0.2,V,15,V
08-11-2017,24:00,3,V,12,V,3,V,0.2,V,16,V
09-11-2017,24:00,3,V,11,V,3,V,0.2,V,14,V
10-11-2017,24:00,2,V,9,V,2,V,0.2,V,12,V
11-11-2017,24:00,3,V,12,V,2,V,0.2,V,15,V
12-11-2017,24:00,2,V,10,V,2,V,0.2,V,13,V
13-11-2017,24:00,3,V,11,V,2,V,0.2,V,15,V
14-11-2017,24:00,3,V,9,V,3,V,0.1,V,13,V
15-11-2017,24:00,3,V,10,V,2,V,0.2,V,13,V
16-11-2017,24:00,3,V,12,V,2,V,0.2,V,17,V
17-11-2017,24:00,,N,,N,4,V,0.2,V,,N
18-11-2017,24:00,,N,,N,5,V,,N,,N
19-11-2017,24:00,,N,,N,6,V,,N,,N
20-11-2017,24:00,,N,,N,3,V,,N,,N
21-11-2017,24:00,6,V,27,V,2,V,0.2,V,35,V
22-11-2017,24:00,19,V,35,V,3,V,0.4,V,64,V
23-11-2017,24:00,20,V,48,V,8,V,0.3,V,77,V
24-11-2017,24:00,15,V,35,V,4,V,0.3,V,59,V
25-11-2017,24:00,9,V,23,V,3,V,0.2,V,37,V
26-11-2017,24:00,9,V,19,V,3,V,0.2,V,32,V
27-11-2017,24:00,16,V,40,V,3,V,0.3,V,65,V
28-11-2017,24:00,24,V,42,V,10,V,0.3,V,79,V
29-11-2017,24:00,8,V,25,V,3,V,0.3,V,37,V
30-11-2017,24:00,6,V,19,V,3,V,0.3,V,28,V
01-12-2017,24:00,5,V,18,V,2,V,0.2,V,26,V
02-12-2017,24:00,3,V,12,V,2,V,0.2,V,17,V
03-12-2017,24:00,3,V,9,V,2,V,0.2,V,14,V
04-12-2017,24:00,5,V,14,V,2,V,0.2,V,21,V
05-12-2017,24:00,9,V,18,V,3,V,0.2,V,31,V
06-12-2017,24:00,13,V,23,V,20,V,0.2,V,42,V
07-12-2017,24:00,17,V,27,V,14,V,0.2,V,54,V
08-12-2017,24:00,9,V,19,V,3,V,0.2,V,33,V
09-12-2017,24:00,,N,,N,5,V,0.2,V,,N
10-12-2017,24:00,,N,,N,5,V,0.2,V,,N
11-12-2017,24:00,,N,,N,5,V,0.2,V,,N
12-12-2017,24:00,,N,,N,3,V,0.2,V,,N
13-12-2017,24:00,,N,,N,,N,,N,,N
14-12-2017,24:00,3,V,14,V,5,V,0.2,V,19,V
15-12-2017,24:00,4,V,13,V,4,V,0.2,V,18,V
16-12-2017,24:00,3,V,10,V,5,V,0.2,V,14,V
17-12-2017,24:00,2,V,8,V,4,V,0.2,V,11,V
18-12-2017,24:00,3,V,9,V,4,V,0.2,V,14,V
19-12-2017,24:00,3,V,10,V,4,V,0.2,V,14,V
20-12-2017,24:00,4,V,13,V,5,V,0.2,V,19,V
21-12-2017,24:00,4,V,13,V,4,V,0.2,V,19,V
22-12-2017,24:00,5,V,18,V,4,V,0.2,V,25,V
23-12-2017,24:00,4,V,17,V,4,V,0.2,V,23,V
24-12-2017,24:00,7,V,16,V,8,V,0.1,V,27,V
25-12-2017,24:00,3,V,7,V,4,V,0.1,V,12,V
26-12-2017,24:00,10,V,21,V,5,V,0.2,V,36,V
27-12-2017,24:00,3,V,10,V,4,V,0.2,V,15,V
28-12-2017,24:00,4,V,11,V,4,V,0.2,V,16,V
29-12-2017,24:00,4,V,11,V,4,V,0.2,V,17,V
30-12-2017,24:00,5,V,20,V,5,V,0.2,V,27,V
31-12-2017,24:00,4,V,15,V,4,V,0.2,V,20,V
